Contract,PaymentMethod,customers,churn_rate,avg_monthly_charges,avg_tenure,Segment
Month-to-month,Electronic check,1850,53.73,74.99,17.97,Month-to-month | Electronic check
Month-to-month,Bank transfer (automatic),589,34.13,69.09,24.9,Month-to-month | Bank transfer (automatic)
Month-to-month,Credit card (automatic),543,32.78,67.68,23.96,Month-to-month | Credit card (automatic)
Month-to-month,Mailed check,893,31.58,46.05,10.04,Month-to-month | Mailed check
One year,Electronic check,347,18.44,79.1,46.18,One year | Electronic check
